DayofMonth,Price,High,Low
2023-05-18T00:00:00.0000000Z,833.00,833.00,833.00
2023-05-17T00:00:00.0000000Z,832.00,832.00,832.00
2023-05-16T00:00:00.0000000Z,841.50,841.50,841.50
2023-05-15T00:00:00.0000000Z,845.00,845.00,845.00
2023-05-12T00:00:00.0000000Z,850.50,850.50,850.50
2023-05-11T00:00:00.0000000Z,853.50,853.50,853.50
2023-05-10T00:00:00.0000000Z,852.50,852.50,852.50
2023-05-09T00:00:00.0000000Z,852.00,852.00,852.00
2023-05-08T00:00:00.0000000Z,854.50,854.50,854.50
2023-05-05T00:00:00.0000000Z,849.50,849.50,849.50
2023-05-04T00:00:00.0000000Z,850.50,850.50,850.50
