DayofMonth,Price,High,Low
2023-05-18T00:00:00.0000000Z,630.00,630.00,630.00
2023-05-17T00:00:00.0000000Z,625.50,625.50,625.50
2023-05-16T00:00:00.0000000Z,624.50,624.50,624.50
2023-05-15T00:00:00.0000000Z,622.50,622.50,622.50
2023-05-12T00:00:00.0000000Z,627.00,627.00,627.00
2023-05-11T00:00:00.0000000Z,630.50,630.50,630.50
2023-05-10T00:00:00.0000000Z,629.50,629.50,629.50
2023-05-09T00:00:00.0000000Z,631.00,631.00,631.00
2023-05-08T00:00:00.0000000Z,631.50,631.50,631.50
2023-05-05T00:00:00.0000000Z,631.50,631.50,631.50
2023-05-04T00:00:00.0000000Z,633.00,633.00,633.00
